15,4239
8,2658
3,2373
7,1690
11,3823
6,3219
4,2455
10,3571
19,2393
2,3848
12,2463
8,4415
6,3175
13,4953
16,4877
5,3421
14,4974
7,472
17,2174
2,4705
4,3924
13,1048
11,2164
8,1170
19,4552
10,1512
16,2982
3,4644
15,2727
10,1552
15,1596
5,3721
17,3189
8,2322
15,128
14,2902
5,3312
14,1035
1,3909
10,3592
10,2681
7,1407
15,1684
8,1102
6,4022
18,2281
8,1948
13,3674
14,3139
6,4941
5,4386
15,4911
13,2186
8,1047
9,2097
8,3903
19,4149
4,4382
17,4448
2,3324
8,4135
9,1962
18,1698
14,2615
14,4523
2,4685
2,440
12,316
7,3015
2,1915
16,4284
3,4702
5,2815
1,4491
4,1463
13,4986
12,4056
12,3488
5,384
9,4284
6,248
12,3716
12,1726
8,1661
6,1065
15,3471
10,4107
10,4257
2,3654
18,2636
7,2292
1,4802
14,1844
11,3212
5,4973
